"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BELL","027","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","10,983","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BOSQUE","035","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","65,236","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","COLLIN","085","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","4,595","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","COOKE","097","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","14,070","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","CORYELL","099","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","5,380","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DALLAS","113","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","4,617","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DELTA","119","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DENTON","121","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","10,841","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","ELLIS","139","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","4,502","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","FALLS","145","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","58,267","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","FANNIN","147","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","59,054","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","GRAYSON","181","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","7,657","19.0"
"CENSUS","2017","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HAMILTON","193","","","00000000","","AG LAND","AG LAND - ACRES","IRRIGATION STATUS","IRRIGATION STATUS: (ANY ON OPERATION)","15,324","19.0"
