"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BELL","027","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","104","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","BOSQUE","035","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","63","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","COLLIN","085","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","213","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","COOKE","097","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","87","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","CORYELL","099","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","71","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DALLAS","113","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","76","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DELTA","119","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","29","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","DENTON","121","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","256","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","ELLIS","139","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","115","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","FALLS","145","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","43","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","FANNIN","147","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","96","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","GRAYSON","181","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","140","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HAMILTON","193","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","44","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HILL","217","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","84","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","HUNT","231","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","147","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","JOHNSON","251","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","137","16.3"
"CENSUS","2022","YEAR","","COUNTY","TEXAS","48","BLACKLANDS","40","KAUFMAN","257","","","00000000","","FACILITIES & EQUIPMENT","FACILITIES & EQUIPMENT, IRRIGATION, SYSTEMS & EQUIPMENT - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","91","16.3"
